,keywords,地點,工作抬頭,公司名,工作url,需要工作經歷,需求科系,語言,語言程度,Rails,Python,RF,Database Administrator,Visual Basic,Power BI​,HP-UX,Ethernet,RDBMS,Verilog,ADO,SDLC,VBA,Google Analytics,Circuit Design,Java,Informix,LDAP,中英打,SPSS,Google Trend,DNS,SQR,Data Guard,Junit,Adobe Acrobat,UNIX,Hubs/ Routers,VPN,ASP.NET,Assembly,Struts,Perl,Juniper,XHTML,ISAPI,Inkscape,Firewall,GIS,XML,Data Modeling,DataStage,Ruby,ReactNative,VMS,PL/1,MCU,JavaScript,Adobe Photoshop,Pro/E,Data Marts,Unity3D,Tableau,SAS,Informatica,Mac OS,WAN,WinForm,Windows Server 2019,VLAN,e-Test suite,英文打字50~75,WebSphere,LabVIEW,Data Architect,Visio,ssh,Matlab,SAP,OOAD,Angular,Cognos,HTML,Redux,RTL,Bridges,TK,PPPoE,JSF,C#,Google Display Network,ASP,Jenkins,Socket,Capacity Planning,SOAP,Servlets,Android,IIS,LibreOffice Writer,基礎文書處理,FTP,Planner,FPGA,LAN,Developer/ Designer 2000,C++,HTTP,OLAP,Kotlin,After Effects,Toad,SAN/NAS,Microsoft Dynamics AX,TIBCO,Oracle Financials,SolidWorks,DHCP,Cisco,PLC,Screaming Frog SEO Spider,C,MFC,iptables,Scala,Premiere,VoIP,Alexa,Windows ,Django,WebLogic,ODBC,Shell,Linux,Go,Sybase,Web Master/Developer,EDA,Load Balancing,Security,Citrix,RIP,JSP,Visual C++,CSS,Google Data Studio,ERP,Visual Studio .net,Fireworks,AJAX,PHP,SimilarWeb,DSP,Vmware,Spring,Sass,AIX,AWS,Outlook,JMS,SNA,Solaris,XML Web services,UML,Microsoft SharePoint,Systems Analyst,MRP,Apple,Microsoft Exchange,jQuery,hadoop,Apache SOAP,Mantis,VBScript,文中系統,Teradata,Database Management,TCL,Xmind,Great Plains,J2EE,iOS,Oracle Forms,Internet Explorer,R,WLAN,C++.Net,SAN,Firebase,Visual Basic .net,Mac/Macintosh,AutoCAD,ASIC,IMS,VM,JDBC,CASE,OOP,Systems Analysis,Objective-C,Visual Studio,ETL,Routers,ARM,中文打字75~100,Illustrator,OSPF,Google Tag Manager,Access,Tomcat,AutoCad 3D,CorelDraw,Wordperfect,TCP/IP,AutoCad 2D,EJB,Delphi,Visual C#,Adobe InDesign,ActiveX,DB2,Ghost,D3.js,UDP,Project,Win32,Git,SWIFT,Hive,XSL,ArcGis,Sniffer,SQL,Systems Administration,CAM
10,資料分析,台中市南區,國際學校教育資料分析師,康乃爾英語股份有限公司,https://www.104.com.tw/job/7a385?jobsource=n104bank2,不拘,,英文,聽 /精通、說 /精通、讀 /精通、寫 /精通,,v,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,資料分析,台北市內湖區,Data Analyst資料分析師,果實夥伴股份有限公司,https://www.104.com.tw/job/796q0?jobsource=n104bank2,1年以上,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,
12,資料分析,台北市信義區,【知名外商銀行】Data Analyst 資料分析師-派遣-101WE,萬寶華企業管理顧問股份有限公司,https://www.104.com.tw/job/7ahjs?jobsource=n104bank2,不拘,,英文,聽 /精通、說 /精通、讀 /精通、寫 /精通,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,
13,資料分析,新竹市,資料分析師(Data Analyst),泰詠電子股份有限公司,https://www.104.com.tw/job/773df?jobsource=n104bank2,1年以上,,英文,聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,資料分析,桃園市蘆竹區,資料分析工程師(桃園公司),廣晉軟體股份有限公司,https://www.104.com.tw/job/6nt0r?jobsource=n104bank2,不拘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,
15,資料分析,新竹市,【資料分析】資料分析工程師 (新竹),智聯服務股份有限公司,https://www.104.com.tw/job/6th8v?jobsource=n104bank2,不拘,"['資訊管理相關', '資訊工程相關']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,
16,資料分析,新竹市,【資料分析】Tableau開發工程師 (新竹),智聯服務股份有限公司,https://www.104.com.tw/job/75j5a?jobsource=n104bank2,不拘,"['資訊管理相關', '資訊工程相關']",,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,
17,資料分析,台北市中山區,【MIS】資料分析人員ー知名日系自動化設備製造商(15266),立樂高園股份有限公司,https://www.104.com.tw/job/7958e?jobsource=n104bank2,不拘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,資料分析,台北市內湖區,資料分析工程師,台固媒體股份有限公司,https://www.104.com.tw/job/6y8ek?jobsource=n104bank2,7年以上,"['資訊工程相關', '資訊管理相關']",英文,聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,,,,v,,
19,資料分析,新北市板橋區,《總公司》資料分析專員,遠東百貨股份有限公司,https://www.104.com.tw/job/793e1?jobsource=n104bank2,1年以上,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,
