,股票日期,更新時間點,股票類別,股票名稱,股票代號,開盤價,漲停價,跌停價,當日最高,當日最低,成交價,成交量
47,20210531,13:30:00,塑膠工業,台化,1326,85.8000,93.9000,76.9000,86.4000,84.9000,85.6000,1326
48,20210531,13:30:00,塑膠工業,再生-KY,1337,7.8600,8.5000,6.9600,7.9700,7.5500,7.6200,1337
49,20210531,13:30:00,塑膠工業,勝悅-KY,1340,10.8000,11.8500,9.7200,10.8500,10.6000,10.7000,1340
50,20210531,13:30:00,塑膠工業,富林-KY,1341,78.9000,86.7000,71.1000,78.9000,77.8000,-,1341
51,20210531,13:30:00,塑膠工業,炎洲,4306,18.7000,20.4500,16.7500,18.8500,18.5500,18.6000,4306
52,20210531,13:30:00,紡織纖維,遠東新,1402,31.4500,34.3500,28.1500,31.9500,31.4000,31.6500,1402
53,20210531,13:30:00,紡織纖維,新纖,1409,21.6000,23.6500,19.3500,21.8500,21.3500,21.5500,1409
54,20210531,13:30:00,紡織纖維,南染,1410,35.1000,38.4000,31.5000,35.1000,34.4000,34.6000,1410
55,20210531,13:30:00,紡織纖維,宏洲,1413,12.1500,13.3000,10.9000,12.6000,11.8500,11.8500,1413
56,20210531,13:30:00,紡織纖維,東和,1414,18.4000,19.7000,16.2000,18.4000,17.5000,17.8000,1414
57,20210531,13:30:00,紡織纖維,嘉裕,1417,16.4000,17.9000,14.7000,16.4500,15.7000,15.7000,1417
58,20210531,13:30:00,紡織纖維,東華,1418,11.5000,12.7500,10.4500,11.5500,11.4500,-,1418
59,20210531,13:30:00,紡織纖維,新紡,1419,39.6500,43.6000,35.7000,39.9000,39.5000,39.8000,1419
60,20210531,13:30:00,紡織纖維,利華,1423,21.3000,23.3500,19.1500,21.4000,21.2000,21.2500,1423
61,20210531,13:30:00,紡織纖維,福懋,1434,30.9000,33.9000,27.8000,31.1500,30.8500,30.9000,1434
62,20210531,13:30:00,紡織纖維,中和,1439,24.0000,26.8000,22.0000,24.2500,23.8000,23.9500,1439
63,20210531,13:30:00,紡織纖維,南紡,1440,28.7500,31.2500,25.6500,29.0000,27.8000,28.0000,1440
64,20210531,13:30:00,紡織纖維,大東,1441,12.1500,13.2000,10.8000,12.2500,11.3000,11.7000,1441
65,20210531,13:30:00,紡織纖維,立益,1443,12.1500,13.4000,11.0000,12.4000,12.1500,12.4000,1443
66,20210531,13:30:00,紡織纖維,力麗,1444,12.9000,13.9000,11.4000,13.1000,12.6500,12.8000,1444
67,20210531,13:30:00,紡織纖維,大宇,1445,12.0000,13.0000,10.7000,12.0000,11.6500,12.0000,1445
68,20210531,13:30:00,紡織纖維,宏和,1446,28.8000,31.5500,25.8500,29.4000,28.7000,-,1446
69,20210531,13:30:00,紡織纖維,力鵬,1447,12.8500,13.9000,11.4000,13.1500,12.6500,12.7000,1447
70,20210531,13:30:00,紡織纖維,佳和,1449,15.7000,17.2500,14.1500,16.2500,15.7000,16.1000,1449
71,20210531,13:30:00,紡織纖維,年興,1451,22.9000,25.0000,20.5000,22.9000,21.5000,21.6000,1451
72,20210531,13:30:00,紡織纖維,宏益,1452,25.2500,27.3500,22.4500,25.3500,24.0000,24.2500,1452
73,20210531,13:30:00,紡織纖維,大將,1453,9.4400,10.1500,8.3100,9.4400,9.1700,9.2000,1453
74,20210531,13:30:00,紡織纖維,台富,1454,10.7000,11.6500,9.5400,10.7500,10.2000,10.3500,1454
75,20210531,13:30:00,紡織纖維,集盛,1455,27.0000,29.1500,23.8500,27.2000,24.9000,25.1000,1455
76,20210531,13:30:00,紡織纖維,怡華,1456,17.5000,19.1500,15.7500,17.6000,17.0000,17.2500,1456
77,20210531,13:30:00,紡織纖維,宜進,1457,18.2500,19.8000,16.2000,18.2500,17.9500,18.0500,1457
78,20210531,13:30:00,紡織纖維,聯發,1459,14.3500,15.6500,12.8500,14.5000,13.9000,13.9000,1459
79,20210531,13:30:00,紡織纖維,宏遠,1460,12.5500,13.3000,10.9000,12.7000,12.0500,12.1000,1460
80,20210531,13:30:00,紡織纖維,強盛,1463,14.4000,15.3000,12.6000,14.4000,13.8000,13.9000,1463
81,20210531,13:30:00,紡織纖維,得力,1464,17.5000,19.0000,15.6000,17.5000,17.2000,17.2500,1464
82,20210531,13:30:00,紡織纖維,偉全,1465,12.9500,14.1500,11.6500,12.9500,12.8000,-,1465
83,20210531,13:30:00,紡織纖維,聚隆,1466,21.5000,23.5000,19.3000,21.7000,20.1500,20.2500,1466
84,20210531,13:30:00,紡織纖維,南緯,1467,18.0000,19.6500,16.1500,18.0000,17.5500,17.6000,1467
85,20210531,13:30:00,紡織纖維,昶和,1468,12.4000,13.8500,11.3500,12.5000,12.1000,-,1468
86,20210531,13:30:00,紡織纖維,大統新創,1470,15.9500,17.6500,14.4500,15.9500,15.8000,-,1470
87,20210531,13:30:00,紡織纖維,三洋紡,1472,10.5000,11.5500,9.4500,10.6000,10.5000,10.6000,1472
88,20210531,13:30:00,紡織纖維,台南,1473,18.2000,19.8500,16.2500,18.2000,17.9500,18.0500,1473
89,20210531,13:30:00,紡織纖維,弘裕,1474,17.8500,19.4000,15.9000,18.0000,17.1000,17.2500,1474
90,20210531,13:30:00,紡織纖維,業旺,1475,35.4000,38.6500,31.6500,36.2000,35.1500,35.1500,1475
91,20210531,13:30:00,紡織纖維,儒鴻,1476,645.0000,713.0000,585.0000,652.0000,637.0000,645.0000,1476
92,20210531,13:30:00,紡織纖維,聚陽,1477,289.0000,312.5000,256.5000,289.0000,280.5000,281.0000,1477
93,20210531,13:30:00,紡織纖維,如興,4414,9.8800,10.8000,8.8400,9.9400,9.8100,9.8300,4414
94,20210531,13:30:00,紡織纖維,利勤,4426,24.8000,27.1000,22.2000,25.0000,24.4000,24.5000,4426
95,20210531,13:30:00,紡織纖維,廣越,4438,133.0000,141.5000,116.5000,137.0000,132.5000,136.0000,4438
96,20210531,13:30:00,紡織纖維,冠星-KY,4439,148.0000,162.5000,133.5000,148.0000,147.0000,147.0000,4439
97,20210531,13:30:00,電機機械,士電,1503,51.1000,56.2000,46.0000,51.2000,51.0000,51.2000,1503
98,20210531,13:30:00,電機機械,東元,1504,32.9500,36.2000,29.7000,33.2500,32.9500,33.0000,1504
99,20210531,13:30:00,電機機械,正道,1506,9.7600,10.7000,8.7900,9.9000,9.6500,9.7000,1506
100,20210531,13:30:00,電機機械,永大,1507,61.5000,67.6000,55.4000,62.0000,61.4000,61.9000,1507
101,20210531,13:30:00,電機機械,中興電,1513,51.2000,56.3000,46.1000,51.7000,51.0000,51.2000,1513
102,20210531,13:30:00,電機機械,亞力,1514,24.0000,26.2500,21.5500,24.2500,23.8000,23.8500,1514
103,20210531,13:30:00,電機機械,力山,1515,78.4000,85.8000,70.2000,79.3000,76.6000,77.4000,1515
104,20210531,13:30:00,電機機械,利奇,1517,26.5000,28.1000,23.0000,26.9000,25.4000,25.8500,1517
105,20210531,13:30:00,電機機械,華城,1519,43.3000,47.6000,39.0000,44.9500,43.3000,44.2500,1519
106,20210531,13:30:00,電機機械,日馳,1526,50.4000,54.5000,44.6000,50.4000,49.1000,49.1000,1526
107,20210531,13:30:00,電機機械,鑽全,1527,48.0500,52.8000,43.2000,48.5000,47.5000,47.8000,1527
108,20210531,13:30:00,電機機械,恩德,1528,9.9500,10.8500,8.9100,10.0000,9.8500,9.8900,1528
109,20210531,13:30:00,電機機械,樂士,1529,17.0000,18.7000,15.3000,17.0500,16.8500,16.9500,1529
